Distance_(microns)	Gray_Value
3.17782	89.616
3.18147	0
3.18512	94.811
3.18876	51.951
3.19241	66.238
3.19606	0
3.19971	0
3.20336	0
3.20701	0
3.21065	0
3.21430	19.482
3.21795	0
3.22160	0
3.22525	88.317
3.22890	76.628
3.23255	0
3.23619	0
3.23984	0
3.24349	79.226
3.24714	83.122
3.25079	151.957
3.25444	140.268
3.25808	22.079
3.26173	197.415
3.26538	106.500
3.26903	41.561
3.27268	0
3.27633	0
3.27998	0
3.28362	0
3.28727	120.787
3.29092	213.000
3.29457	106.500
3.29822	155.854
3.30187	85.720
3.30552	0
3.30916	0
3.31281	0
3.31646	0
3.32011	0
3.32376	0
3.32741	0
3.33105	55.848
3.33470	83.122
3.33835	185.726
3.34200	25.976
3.34565	105.201
3.34930	0
3.35295	0
3.35659	0
3.36024	0
3.36389	0
3.36754	0
3.37119	0
3.37484	0
3.37848	166.244
3.38213	37.665
3.38578	0
3.38943	0
3.39308	0
3.39673	0
3.40038	0
3.40402	89.616
3.40767	0
3.41132	61.043
3.41497	119.488
3.41862	0
3.42227	0
3.42591	106.500
3.42956	213.000
3.43321	24.677
3.43686	0
3.44051	53.250
3.44416	0
3.44781	49.354
3.45145	0
3.45510	102.604
3.45875	36.366
3.46240	74.030
3.46605	213.000
3.46970	61.043
3.47334	0
3.47699	140.348
3.48064	629.585
3.48429	129.933
3.48794	0
3.49159	66.238
3.49524	109.098
3.49888	75.329
3.50253	259.756
3.50618	194.817
3.50983	0
3.51348	0
3.51713	0
3.52077	154.555
3.52442	88.317
3.52807	166.244
3.53172	363.659
3.53537	107.799
3.53902	213.000
3.54267	27.274
3.54631	0
3.54996	0
3.55361	0
3.55726	22.079
3.56091	0
3.56456	0
3.56820	0
3.57185	0
3.57550	0
3.57915	106.500
3.58280	327.561
3.58645	383.573
3.59010	0
