ALV-7002/USB-25
Date :	"13/03/2025"
Time :	"10:40:31"
Samplename : 	""
SampMemo(0) : 	""
SampMemo(1) : 	""
SampMemo(2) : 	""
SampMemo(3) : 	""
SampMemo(4) : 	""
SampMemo(5) : 	""
SampMemo(6) : 	""
SampMemo(7) : 	""
SampMemo(8) : 	""
SampMemo(9) : 	""
Temperature [K] :	     298.16000
Viscosity [cp]  :	       0.89000
Refractive Index:	       1.33200
Wavelength [nm] :	     632.80000
Angle [°]       :	      90.00000
Duration [s]    :	        30
FloatDur [ms]   :	        29989
Stop TP [ms]   :	   1543895
Runs            :	        10
Mode            :	"A-CH0 "
MeanCR0 [kHz]   :	      95.34245
MeanCR1 [kHz]   :	       0.00000
MeanCR2 [kHz]   :	       0.00000
MeanCR3 [kHz]   :	       0.00000

"Correlation (Multi, Averaged)"
"Lag [ms]"	"Average"	" 1,  92.718"	" 2,  93.489"	" 3,  94.095"	" 4,  94.323"	" 5,  94.155"	" 6,  93.453"	" 7,  93.613"	" 8,  94.443"	" 9,  95.505"	"10,  95.342"	
  2.30400E-001	  2.68015E-002	  2.59055E-002	  2.76871E-002	  2.47727E-002	  2.61846E-002	  2.63332E-002	  2.77371E-002	  2.77360E-002	  2.59943E-002	  2.91839E-002	  2.64805E-002	
  2.56000E-001	  2.45470E-002	  2.63582E-002	  2.34456E-002	  2.48849E-002	  2.39684E-002	  2.43288E-002	  2.50166E-002	  2.35549E-002	  2.48487E-002	  2.60796E-002	  2.29844E-002	
  2.81600E-001	  2.15692E-002	  2.32569E-002	  2.24628E-002	  2.18975E-002	  2.07479E-002	  2.23080E-002	  2.11867E-002	  2.00786E-002	  1.97718E-002	  2.26576E-002	  2.13244E-002	
  3.07200E-001	  2.04500E-002	  2.05673E-002	  2.02996E-002	  2.19094E-002	  1.93198E-002	  2.12255E-002	  2.10531E-002	  2.08463E-002	  1.99389E-002	  2.03864E-002	  1.89533E-002	
  3.32800E-001	  1.79832E-002	  1.62486E-002	  1.68899E-002	  1.88760E-002	  1.92618E-002	  1.69812E-002	  2.01063E-002	  1.83161E-002	  1.58426E-002	  1.78366E-002	  1.94726E-002	
  3.58400E-001	  1.61408E-002	  1.73478E-002	  1.59546E-002	  1.57582E-002	  1.60848E-002	  1.68544E-002	  1.72972E-002	  1.66137E-002	  1.64071E-002	  1.39903E-002	  1.51001E-002	
  3.84000E-001	  1.46016E-002	  1.51357E-002	  1.29615E-002	  1.54691E-002	  1.39944E-002	  1.45466E-002	  1.46403E-002	  1.31546E-002	  1.58824E-002	  1.55435E-002	  1.46879E-002	
  4.09600E-001	  1.33303E-002	  1.41794E-002	  1.33224E-002	  1.37717E-002	  1.25017E-002	  1.30346E-002	  1.29700E-002	  1.18663E-002	  1.36628E-002	  1.42369E-002	  1.37573E-002	
  4.60800E-001	  1.05899E-002	  1.09425E-002	  8.92941E-003	  1.12531E-002	  8.91558E-003	  1.01323E-002	  1.19586E-002	  1.17335E-002	  9.71926E-003	  1.21951E-002	  1.01192E-002	
  5.12000E-001	  8.67922E-003	  9.00609E-003	  8.03486E-003	  8.46250E-003	  8.84819E-003	  8.06145E-003	  9.73244E-003	  9.20641E-003	  8.23404E-003	  8.27234E-003	  8.93390E-003	
  5.63200E-001	  7.27159E-003	  9.04314E-003	  7.12675E-003	  6.39273E-003	  7.39794E-003	  6.76221E-003	  6.08714E-003	  6.38400E-003	  7.41618E-003	  8.20693E-003	  7.89888E-003	
  6.14400E-001	  6.25763E-003	  6.80579E-003	  5.57785E-003	  6.36151E-003	  6.06340E-003	  5.62020E-003	  4.87782E-003	  6.43335E-003	  6.67401E-003	  6.49798E-003	  7.66441E-003	
  6.65600E-001	  4.90372E-003	  4.77313E-003	  4.54861E-003	  4.73642E-003	  4.65156E-003	  5.27202E-003	  5.80532E-003	  5.15466E-003	  3.67378E-003	  5.71055E-003	  4.71114E-003	
  7.16800E-001	  3.68479E-003	  3.91778E-003	  4.65047E-003	  4.57194E-003	  3.20882E-003	  2.97324E-003	  4.14115E-003	  3.98177E-003	  3.24442E-003	  3.59060E-003	  2.56770E-003	
  7.68000E-001	  3.46730E-003	  2.56781E-003	  3.61010E-003	  2.97041E-003	  3.39320E-003	  3.13867E-003	  3.89845E-003	  4.87212E-003	  3.71970E-003	  3.22156E-003	  3.28100E-003	
  8.19200E-001	  2.91689E-003	  2.26838E-003	  2.52909E-003	  3.26662E-003	  3.31881E-003	  2.85127E-003	  2.29829E-003	  3.37002E-003	  2.97749E-003	  3.02274E-003	  3.26620E-003	
  9.21600E-001	  1.96401E-003	  1.54762E-003	  1.56793E-003	  9.59497E-004	  1.79283E-003	  2.49425E-003	  2.15599E-003	  1.45969E-003	  1.80184E-003	  2.52204E-003	  3.33836E-003	
  1.02400E+000	  1.57244E-003	  1.41805E-003	 -2.99981E-004	  3.06942E-003	  1.77084E-003	  1.27692E-003	  2.45376E-003	  7.41805E-004	  1.26440E-003	  2.72599E-003	  1.30323E-003	
  1.12640E+000	  1.03087E-003	  1.69562E-003	  3.89662E-006	  2.06883E-003	  2.26109E-003	  9.75507E-004	 -4.57986E-004	  1.39363E-004	  1.83282E-003	  1.09024E-003	  6.99293E-004	
  1.22880E+000	  7.26877E-004	  1.47365E-003	 -1.50437E-005	  8.67810E-004	  2.35355E-003	  2.68394E-004	  1.49223E-003	  6.53586E-004	 -9.01809E-005	 -5.11916E-004	  7.76685E-004	
