ALV-7002/USB-25
Date :	"13/03/2025"
Time :	"09:18:10"
Samplename : 	""
SampMemo(0) : 	""
SampMemo(1) : 	""
SampMemo(2) : 	""
SampMemo(3) : 	""
SampMemo(4) : 	""
SampMemo(5) : 	""
SampMemo(6) : 	""
SampMemo(7) : 	""
SampMemo(8) : 	""
SampMemo(9) : 	""
Temperature [K] :	     298.16000
Viscosity [cp]  :	       0.89000
Refractive Index:	       1.33200
Wavelength [nm] :	     632.80000
Angle [°]       :	      90.00000
Duration [s]    :	        30
FloatDur [ms]   :	        29989
Stop TP [ms]   :	    301205
Runs            :	        10
Mode            :	"A-CH0 "
MeanCR0 [kHz]   :	     104.93505
MeanCR1 [kHz]   :	       0.00000
MeanCR2 [kHz]   :	       0.00000
MeanCR3 [kHz]   :	       0.00000

"Correlation (Multi, Averaged)"
"Lag [ms]"	"Average"	" 1, 103.612"	" 2, 103.605"	" 3, 103.657"	" 4, 104.483"	" 5, 104.918"	" 6, 104.651"	" 7, 104.407"	" 8, 104.888"	" 9, 105.270"	"10, 104.935"	
  5.20000E-003	  1.55939E-001	  1.66016E-001	  1.62213E-001	  1.58069E-001	  1.62351E-001	  1.47821E-001	  1.45031E-001	  1.62944E-001	  1.58521E-001	  1.54144E-001	  1.42281E-001	
  5.60000E-003	  1.32377E-001	  1.44018E-001	  1.45904E-001	  1.29153E-001	  1.32890E-001	  1.32932E-001	  1.27485E-001	  1.45982E-001	  1.20504E-001	  1.28049E-001	  1.16852E-001	
  6.00000E-003	  1.17826E-001	  1.24046E-001	  1.21572E-001	  1.28028E-001	  1.20634E-001	  1.15158E-001	  1.11851E-001	  1.19109E-001	  1.15613E-001	  1.19646E-001	  1.02603E-001	
  6.40000E-003	  1.11824E-001	  1.18897E-001	  1.20570E-001	  1.13163E-001	  1.08564E-001	  1.04215E-001	  1.07063E-001	  1.13351E-001	  1.22466E-001	  9.97710E-002	  1.10178E-001	
  7.20000E-003	  9.67003E-002	  1.02412E-001	  1.01764E-001	  9.25950E-002	  1.01978E-001	  9.85242E-002	  9.15806E-002	  9.42711E-002	  9.77041E-002	  8.70804E-002	  9.90944E-002	
  8.00000E-003	  9.09832E-002	  9.34197E-002	  1.02028E-001	  9.04381E-002	  9.34709E-002	  9.31662E-002	  8.75920E-002	  8.78817E-002	  9.36102E-002	  8.82201E-002	  8.00051E-002	
  8.80000E-003	  8.90729E-002	  9.08067E-002	  9.67859E-002	  9.05196E-002	  9.17909E-002	  8.77968E-002	  8.27243E-002	  8.78243E-002	  8.64029E-002	  8.86834E-002	  8.73940E-002	
  9.60000E-003	  8.03418E-002	  9.00496E-002	  7.79139E-002	  7.07819E-002	  8.06610E-002	  7.54337E-002	  8.25873E-002	  8.53427E-002	  8.21067E-002	  8.31280E-002	  7.54138E-002	
  1.04000E-002	  8.06375E-002	  7.89726E-002	  9.04253E-002	  7.60809E-002	  8.64264E-002	  6.98523E-002	  7.87928E-002	  8.07925E-002	  7.76912E-002	  8.34816E-002	  8.38589E-002	
  1.12000E-002	  7.93445E-002	  8.16865E-002	  8.01971E-002	  7.81486E-002	  8.41241E-002	  7.08898E-002	  7.24065E-002	  7.47615E-002	  8.01102E-002	  8.01566E-002	  9.09639E-002	
  1.20000E-002	  8.06443E-002	  8.19001E-002	  8.11492E-002	  7.77839E-002	  8.99620E-002	  6.97418E-002	  8.51981E-002	  8.39384E-002	  7.56652E-002	  8.14016E-002	  7.97026E-002	
  1.28000E-002	  7.97670E-002	  8.79982E-002	  8.34165E-002	  7.72756E-002	  8.58890E-002	  7.55873E-002	  7.79646E-002	  7.71729E-002	  8.00313E-002	  7.71572E-002	  7.51775E-002	
  1.44000E-002	  7.88271E-002	  6.98802E-002	  8.16031E-002	  7.54233E-002	  8.40658E-002	  7.76339E-002	  7.19056E-002	  7.49475E-002	  8.19559E-002	  8.39915E-002	  8.68647E-002	
  1.60000E-002	  7.57551E-002	  8.36400E-002	  7.08627E-002	  7.73513E-002	  7.95890E-002	  7.31374E-002	  6.76982E-002	  7.24678E-002	  7.37069E-002	  7.88817E-002	  8.02157E-002	
  1.76000E-002	  7.58241E-002	  7.16351E-002	  7.47788E-002	  7.63252E-002	  8.15878E-002	  7.21604E-002	  7.33747E-002	  7.74711E-002	  7.59327E-002	  8.00835E-002	  7.48917E-002	
