ALV-7002/USB-25
Date :	"13/03/2025"
Time :	"10:48:27"
Samplename : 	""
SampMemo(0) : 	""
SampMemo(1) : 	""
SampMemo(2) : 	""
SampMemo(3) : 	""
SampMemo(4) : 	""
SampMemo(5) : 	""
SampMemo(6) : 	""
SampMemo(7) : 	""
SampMemo(8) : 	""
SampMemo(9) : 	""
Temperature [K] :	     298.16000
Viscosity [cp]  :	       0.89000
Refractive Index:	       1.33200
Wavelength [nm] :	     632.80000
Angle [°]       :	      90.00000
Duration [s]    :	        30
FloatDur [ms]   :	        29989
Stop TP [ms]   :	   2767151
Runs            :	        10
Mode            :	"A-CH0 "
MeanCR0 [kHz]   :	       2.36438
MeanCR1 [kHz]   :	       0.00000
MeanCR2 [kHz]   :	       0.00000
MeanCR3 [kHz]   :	       0.00000

"Correlation (Multi, Averaged)"
"Lag [ms]"	"Average"	" 1,   1.972"	" 2,   1.980"	" 3,   2.029"	" 4,   2.033"	" 5,   1.999"	" 6,   2.082"	" 7,   2.298"	" 8,   2.405"	" 9,   2.456"	"10,   2.364"	
  1.28000E-001	 -1.80415E-002	  3.83684E-002	 -8.57475E-002	 -1.78328E-001	 -6.40311E-002	  1.23712E-002	  7.08312E-002	 -1.52187E-001	  1.38558E-001	 -3.54865E-003	  4.32988E-002	
  1.40800E-001	  3.08488E-002	 -1.23081E-001	  9.96370E-002	 -4.73923E-002	 -7.86357E-002	  5.17631E-002	  1.74790E-001	 -5.62133E-003	  9.03485E-002	  1.04317E-001	  4.23635E-002	
  1.53600E-001	 -2.67838E-002	 -3.33126E-002	 -4.90707E-002	 -1.04321E-001	 -1.19622E-002	 -3.35860E-002	  3.83818E-002	 -3.52306E-002	 -1.59830E-002	 -4.92175E-002	  2.64639E-002	
  1.66400E-001	 -2.79700E-002	 -9.02553E-002	 -4.90707E-002	  2.09222E-002	 -7.41908E-002	 -2.57076E-002	  1.55470E-002	 -4.26329E-002	  8.34711E-003	 -2.70355E-002	 -1.56235E-002	
  1.79200E-001	 -5.71699E-003	 -9.36049E-002	  3.62862E-002	  3.98984E-002	  7.31258E-002	 -7.82301E-002	 -5.83656E-002	  7.33368E-002	  4.57289E-002	 -5.40019E-002	 -4.13435E-002	
  1.92000E-001	 -5.09163E-002	 -7.75270E-002	  1.30312E-001	 -1.22694E-001	 -7.16509E-002	 -1.08431E-001	  4.01845E-002	  1.80661E-002	 -5.33924E-002	 -5.57416E-002	 -2.08290E-001	
  2.04800E-001	 -1.16198E-002	 -1.65714E-002	  7.11601E-005	 -4.32873E-002	  1.50177E-002	  3.25715E-003	 -6.09277E-003	  3.13832E-002	  1.46480E-002	 -9.01083E-002	 -2.45153E-002	
  2.30400E-001	  1.17105E-002	  1.06692E-001	 -6.59820E-003	  3.04033E-002	 -6.81649E-002	 -3.05568E-002	  4.25810E-002	  2.96560E-002	  8.11494E-003	  4.70834E-003	  2.69335E-004	
  2.56000E-001	  3.20570E-003	 -3.86784E-002	  1.19786E-001	 -4.58018E-002	  2.26374E-002	 -1.01468E-001	 -7.89550E-003	  4.39671E-002	  1.91535E-002	  3.34143E-002	 -1.30582E-002	
  2.81600E-001	 -7.02662E-003	 -3.56638E-002	  1.94123E-002	 -8.69174E-002	 -8.15915E-003	  6.06903E-002	 -1.21019E-002	 -1.35239E-002	 -8.17706E-002	 -9.45866E-004	  8.87138E-002	
  3.07200E-001	 -5.05947E-003	 -1.38918E-002	 -7.66569E-003	  2.82063E-002	 -3.48284E-002	 -1.87548E-002	 -9.09732E-003	 -3.74579E-002	  3.10932E-002	 -5.72704E-002	  6.90721E-002	
  3.32800E-001	  1.27582E-002	 -5.34165E-002	  6.66927E-002	 -2.36626E-002	  9.43903E-002	  4.00083E-002	 -6.82871E-002	  2.64484E-002	  1.44227E-002	  2.34107E-002	  7.57470E-003	
  3.58400E-001	 -1.33318E-002	 -8.02129E-002	  8.00625E-003	 -5.59225E-002	 -3.32409E-002	  2.91201E-003	  2.84596E-002	 -5.13464E-003	 -5.81165E-002	  2.40631E-002	  3.58682E-002	
  3.84000E-001	  2.96615E-002	  7.92258E-002	  1.20076E-002	 -3.09369E-002	 -1.70489E-002	 -2.01227E-003	  4.07783E-002	  6.56804E-002	  7.07271E-002	  9.21310E-002	 -1.39377E-002	
  4.09600E-001	 -9.21105E-004	 -8.04359E-003	  2.94719E-002	  3.83299E-002	 -2.45804E-003	  4.13154E-003	 -3.67215E-002	  1.68115E-002	  8.10117E-003	 -6.82654E-002	  9.43151E-003	
  4.60800E-001	 -9.45374E-003	  2.59539E-002	 -6.10696E-002	 -4.73805E-002	 -8.64902E-003	 -6.80963E-002	  5.80739E-002	 -9.83627E-003	 -1.36378E-002	 -4.11287E-003	  3.42172E-002	
  5.12000E-001	 -1.46966E-002	 -5.09173E-002	 -4.27279E-002	 -2.01809E-002	 -1.01355E-001	 -1.45820E-002	 -1.04312E-002	  4.76843E-002	  3.10791E-002	 -5.10856E-002	  6.55500E-002	
  5.63200E-001	  1.00551E-002	  1.80826E-002	 -7.08650E-004	  3.54835E-002	  5.59594E-002	  1.59506E-002	 -4.39326E-002	  4.27494E-002	  1.98154E-002	 -5.69572E-002	  1.41081E-002	
  6.14400E-001	  2.24869E-002	  5.45922E-002	  4.95768E-002	 -5.63943E-002	  8.97147E-003	 -5.29209E-003	  7.97072E-002	  1.04931E-003	  5.01148E-002	 -3.27097E-002	  7.52538E-002	
  6.65600E-001	  3.40689E-004	 -6.81672E-002	 -2.44352E-003	  3.78555E-002	  1.42100E-002	 -9.23153E-003	  1.85633E-002	  4.99051E-002	  1.29446E-002	 -2.37314E-003	 -4.78561E-002	
  7.16800E-001	 -8.26735E-003	 -1.62499E-002	  6.32523E-003	  6.09436E-002	 -5.31541E-003	  2.24309E-002	 -3.43179E-002	 -3.47289E-002	  1.34295E-003	 -2.81163E-002	 -5.49879E-002	
  7.68000E-001	  7.96268E-003	  5.19126E-002	  1.23272E-002	  5.43737E-003	  3.07193E-002	 -2.25436E-002	  1.43702E-003	  4.97817E-002	 -4.16844E-002	 -2.72464E-002	  1.94861E-002	
  8.19200E-001	 -1.44606E-003	  3.78865E-002	  9.31341E-004	  2.99180E-003	 -2.39152E-002	 -2.90543E-002	 -9.29980E-003	  1.07682E-002	 -2.44213E-002	 -7.17127E-003	  2.68235E-002	
  9.21600E-001	 -3.72417E-003	 -1.45354E-002	 -9.92309E-003	  1.34913E-002	 -2.66138E-002	 -1.70714E-002	  2.78073E-002	  4.22957E-003	  1.30295E-002	 -2.01661E-002	 -7.48971E-003	
  1.02400E+000	  6.12876E-003	  2.51579E-002	 -1.38417E-002	  9.98623E-004	 -5.01244E-004	 -1.32960E-002	 -1.69895E-002	  5.11718E-002	  2.33919E-002	  9.41212E-003	 -4.21622E-003	
